Hotel name;Nr. rooms;Pool;Gym;Tennis court;Spa;Casino;Traveler type;Period of stay;Score
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Friends;Dec-Feb;5
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Business;Dec-Feb;3
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Families;Mar-May;5
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Friends;Mar-May;4
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Solo;Mar-May;4
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Couples;Mar-May;3
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Couples;Mar-May;4
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Families;Mar-May;4
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Friends;Mar-May;4
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Families;Mar-May;3
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Families;Jun-Aug;2
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Friends;Jun-Aug;3
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Friends;Jun-Aug;2
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Friends;Jun-Aug;3
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Friends;Jun-Aug;3
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Families;Jun-Aug;4
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Families;Sep-Nov;1
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Families;Sep-Nov;4
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Couples;Sep-Nov;3
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Couples;Sep-Nov;2
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Couples;Sep-Nov;4
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Couples;Sep-Nov;1
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Families;Dec-Feb;4
Circus Circus Hotel & Casino Las Vegas;3773;NO;YES;NO;NO;YES;Couples;Dec-Feb;2
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Couples;Dec-Feb;4
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Business;Dec-Feb;4
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Couples;Dec-Feb;5
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Business;Dec-Feb;3
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Solo;Mar-May;5
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Couples;Mar-May;5
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Couples;Mar-May;5
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Couples;Mar-May;3
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Solo;Mar-May;3
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Friends;Mar-May;3
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Couples;Jun-Aug;4
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Couples;Jun-Aug;3
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Friends;Jun-Aug;4
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Friends;Jun-Aug;4
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Couples;Jun-Aug;4
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Families;Jun-Aug;2
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Business;Sep-Nov;3
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Couples;Sep-Nov;3
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Families;Sep-Nov;3
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Friends;Sep-Nov;4
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Families;Sep-Nov;4
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Friends;Sep-Nov;4
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Couples;Dec-Feb;4
Excalibur Hotel & Casino;3981;YES;YES;NO;YES;YES;Solo;Dec-Feb;3
Monte Carlo Resort&Casino;3003;YES;YES;NO;YES;YES;Couples;Dec-Feb;3
Monte Carlo Resort&Casino;3003;YES;YES;NO;YES;YES;Solo;Dec-Feb;4
Monte Carlo Resort&Casino;3003;YES;YES;NO;YES;YES;Couples;Dec-Feb;2
Monte Carlo Resort&Casino;3003;YES;YES;NO;YES;YES;Couples;Dec-Feb;4
Monte Carlo Resort&Casino;3003;YES;YES;NO;YES;YES;Couples;Mar-May;3
